SueMarvin3,4 tRump Suckers spanked! https://t.co/DSjJVGNGCt,-1
DonaldTrump_Is,RT @Rushmore8382: @SykesCharlie "Today Donald Trump is the face of what the GOP has become." Yes the old GOP is dead.The Trump Party hat…,-1
lavonj14,RT @RossKinCaid5: @BeNiceButDefend @lavonj14 Trump should have reached over and slapped that fucking bitch right then.,1
Rushmore8382,@SykesCharlie "Today Donald Trump is the face of what the GOP has become." Yes the old GOP is dead.The Trump Par… https://t.co/wbutmpcaxF,-1
WagnerTalone44,Trump condemns ‘horrible and cowardly’ Egypt mosque attack that left at least 235 dead 109 wounded https://t.co/y7iJF6cFam,0
able1954,RT @able1954: We #NeedtoImpeach @RealDonaldTrump. Join me and sign on to @TomSteyer’s petition demanding Congress impeach Trump. https://t.…,-1
audreymac01,“trump trump has lowered our standards”,-1
RossKinCaid5,@BeNiceButDefend @lavonj14 Trump should have reached over and slapped that fucking bitch right then.,1
spokanetom,@realdonaldtrump you just got your ass kicked by another Muslim. Saudi prince beating Trump in Time’s Person of the… https://t.co/AmMN2RxRra,-1
spokanetom,The special counsel has had enough evidence to charge Flynn and his son for weeks. The delay in charges was likely… https://t.co/887zgYBQxI,0
spokanetom,@cathymcmorris @TheInlander @ubnews @SpokesmanReview @kxly @khq @KREM2 This is news that needs a response from dec… https://t.co/qmtQgrs6Ry,0
reconjoe8tet68,You are blessed! This is so cute these children of God will make America great again after Mr Trump sets the foun… https://t.co/4uYEPMOpEA,1
wow_slim1968,@realDonaldTrump Great day that we have a president that responds with action not just words! We're blessed to have… https://t.co/Nipmd4FRRZ,1
lynneeharrison,#LiarInChief has once again raised much ado about nothing. #Shoplifting not the big crime #trump purported accordi… https://t.co/JzL0nKcx5S,0
JamiaStarheart,RT @joycelynn1017: @krassenstein AP has updated 184 dead...and no Trump won’t respond...he’s too busy playing golf and this story involves…,-1
Scoootters,@Trump @DonaldJTrumpJr Thank God for the real Patriots NFL players maybe with their help we can get the electricity… https://t.co/Kkk7Gdw1G3,0
BradyKarstetter,@realDonaldTrump Trump train! 🚅 keep up the hard work!,1
ConnieStarr,Trump brags about 'invisible' fighter jets to Coast Guard https://t.co/AEkM8VvRjq,-1
joycelynn1017,@krassenstein AP has updated 184 dead...and no Trump won’t respond...he’s too busy playing golf and this story invo… https://t.co/lYPz7hSUtX,-1
jhiattsteele,RT @joycelynn1017: https://t.co/Uv6JdSdqMA   Don’t worry Donald jr.  they are bringing it on!,1
joycelynn1017,https://t.co/Uv6JdSdqMA   Don’t worry Donald jr.  they are bringing it on!,1
joycelynn1017,@jptoner50 @GenFlynn @realDonaldTrump Did anyone really believe Trump would give money to people indicted on his wa… https://t.co/S2xisD33zf,-1
GingerSue42,Yes he would have and so many people would still be alive. Trump just committed intentional murder. https://t.co/XFqASE38R3,-1
GingerSue42,What?  Thats under trump and congress's watch. That is horrible. https://t.co/OwpIHyTqhM,-1
spokanetom,There are far too many heartfelt words here for Trump but not for most Americans. A good read for  Thanksgiving. Li… https://t.co/a4LIHMrNlM,-1
deepen915,RT @joycelynn1017: The FAILURE of the ACA is OWNED by you and the GOP Mr. Trump.  It wasn’t a disaster until YOU decided to w/h subsidies…,-1
DeezNetz,@sippinactcheers @peplamb The people who voted for @realDonaldTrump  are Christians. AS WELL AS EVERY OTHER CULTURE… https://t.co/HKYTLAd5AY,0
joycelynn1017,The FAILURE of the ACA is OWNED by you and the GOP Mr. Trump.  It wasn’t a disaster until YOU decided to w/h subsi… https://t.co/uTIm50xZAB,-1
wow_slim1968,@realDonaldTrump Sean my dream right now is to meet you and meet our president Donald Trump! In that order! Thank… https://t.co/AB1Rw6FdRz,1
spokanetom,Draft Dodgers just can't imagine the pain. Johnson's widow accused Trump of making an insensitive condolence call.… https://t.co/YKSW1D4JeX,-1
Jona7Caballero,RT @PrincessDama99: Happy thanksgiving everyone!Except Donald Trump fuck you.,-1
meganeickmeyer,Update: Trump got brought up more Jell-O shots to come,0
straitarrow10,@susmurphy @peterdaou All you have to do is see who the owner is Ruport Murdoch. Criminal in his own right. So it… https://t.co/V6XKdnIXHU,0
Thomaskuttyja,Here is a reasonable explanation of tax cuts  https://t.co/q7CT6gn01T,0
bowfinger12000,#Twitter be thankful for everything no matter how much you think your life sucks if you were #trump @trump it would totally suck,-1
ChrissyUSA1,@Eminem What an idiot! He didn’t get a tweet so he’s whining - ha! That’s bc #Trump WILL NEVER GIVE YOU THE TIME OF… https://t.co/JwUPG6G5ER,0
KMPHFOX26,Ivanka Trump is condemning recent tabloid coverage of President Barack Obama's eldest daughter Malia saying the co… https://t.co/Pf1fqMzQa3,0
CenCalCaucasian,@CNNPolitics While working for the Podesta Group prior to the Trump campaign. @CNN forgot to mention that part.,0
byronhdiel,Keep 'em flippin' Bob! The Daily Beast: If Flynn Is Cooperating With Mueller Then Case Against Trump Gets Much Mo… https://t.co/yAmVqrwG7g,0
tonytor791,Trump playing golf again.....Must b nice....,1
Wrileygirl1961,@JoeConchaTV In other words same sh** different day? It was Bushes fault for 8 years of Obama’s blame fest. Now t… https://t.co/Yjy7W6HLbD,0
kathylasota2935,@funder TRUMP  has got to go to Prison! Or America will take to the streets!,-1
TXsBobby,if jarid and ivonka❤️dont want to help make Usa Maga again we got to lock them up Usa! Maga! https://t.co/8dlc9rxSJO via @BreitbartNews,0
brrider,Alwaleed Bin Talal Reportedly Hung Upside Down And Beaten By US Mercenaries https://t.co/YDgTM74GEf of very rich pp… https://t.co/WfOfbVWhLV,0
asteven79,@IvankaTrump u mite wanna have a talk with your Husband your lil girl is look more like Daddy Trumphahahaha your sick u fuick your Dad,-1
Kendahas,Love Tiger but hard to respect when hanging out with Trump https://t.co/FkkBNm5xcZ,-1
johnestrada,Retweeted Breitbart News (@BreitbartNews):FACT CHECK: Pretty much. https://t.co/j2294BA7pU https://t.co/pSVQuRaOz3,0
MrKevinPiercy,“Religious Freedom” Proponent Jeff Mateer Is the Most Dangerous of Trump’s Judicial Nominees https://t.co/dwgui8POZa,0
CorpsmanAdamD,Judge Nap: Mueller 'Putting the Squeeze' on Flynn Manafort to Get to Trump https://t.co/mbGdGu3TkE,0
chris_manlee,@Regrann from @jjacula&gt;&gt;&gt;Chris comment:  FYI @realdonaldtrump supporters: you and Trump are… https://t.co/k3OsZawUBu,0
RealAmericanSol,@Element_hG @aristew_ @ColleenStockfl1 @BasedMonitored @Proud__Infidel You just playing off POST TRAMATIC TRUMP DISORDER,-1
RealAmericanSol,@bobinaz @BurkhillKathryn @QueenElisabeth @realDonaldTrump TRUMP USING HIS OWN $ LIKE ALWAYS....WHO WANT TO BET!?!!!??,1
kathylasota2935,@cares_matic @Geskalima @EdKrassen @IRdotnet @realDonaldTrump Your as stupid as Trump is!,-1
jxjarvix,It is a Republican administration. They cared a lot about 4 deaths in Benghazi because they wanted to blame Obama.… https://t.co/6TdB4bANxV,1
jxjarvix,George Soros’s $18 Billion Tax Shelter writes @StephenMoore  https://t.co/rT7Gny3ZLs via @WSJOpinionFor all the… https://t.co/vT6KrQDesH,0
KristyCrisp1,Get Your Trump Gear From My Yuge! store IT'S WONDERFUL Check this out! https://t.co/xDLBvzizmr,1
ms_mims,RT @JanzforCongress: Let's talk about the fact you just raised our taxes to pay for a tax break for your rich donors and buddy Trump. #GOPT…,0
